name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
群青日和,教育,東京事変,2004-11-25,213266,55,9,1,0.105,4.26e-05,0.96,0.269,0.0843,0.028,0.0629,180.798,4,0.333
宙でおやすみ,宙でおやすみ,Aiobahn,2023-03-22,165692,42,11,1,0.771,0.0857,0.726,0.0225,0.276,-4.526,0.0335,130.02,4,0.492
Endless Error Loop,Endless Error Loop,Neko Hacker,2022-12-24,143173,22,1,0,0.532,0.027,0.994,0.0172,0.339,-0.957,0.246,145.101,4,0.35
フロートプレイ,フロートプレイ,稲葉曇,2023-01-13,242874,49,8,0,0.539,0.0957,0.952,0.00428,0.314,-3.497,0.0351,167.02,4,0.965
能動的三分間,スポーツ,東京事変,2010-02-24,180000,57,1,0,0.645,0.0247,0.854,1.76e-06,0.332,-3.632,0.0512,120.029,4,0.672
Secret eve,Secret eve,YUC'e,2022-12-30,188000,27,11,1,0.576,0.00324,0.859,0.0532,0.12,-3.719,0.0388,149.98,4,0.889
timelapse,INNERSTELLAR,Such,2023-01-11,227294,25,8,1,0.552,0.235,0.771,0.162,0.135,-8.301,0.049,169.99,4,0.398
Black Dilemma,Angle.,MOTTO MUSIC,2023-04-28,186975,34,8,0,0.594,0.236,0.665,2.72e-05,0.0913,-8.707,0.0805,173.955,4,0.824
No.4,No.4,Chevon,2021-12-18,204680,39,7,1,0.508,0.0148,0.951,0.0,0.464,-1.441,0.0902,125.852,4,0.408
勘冴えて悔しいわ,潜潜話,ずっと真夜中でいいのに。,2019-10-29,236960,63,5,1,0.632,0.212,0.924,3.04e-06,0.0901,-1.829,0.129,149.84,4,0.762
SPECIALZ,SPECIALZ,King Gnu,2023-09-01,238986,85,6,0,0.566,0.0663,0.85,0.0,0.319,-4.431,0.0599,117.048,4,0.722
Shadows feat. Such,Neko Hacker Ⅱ: Stray,Neko Hacker,2021-07-14,113960,22,0,1,0.409,0.064,0.921,0.084,0.288,-4.351,0.0423,169.899,4,0.659
転がる岩、君に朝が降る,ワールド ワールド ワールド,ASIAN KUNG-FU GENERATION,2008-03-05,277533,51,11,1,0.455,0.000344,0.914,2.56e-05,0.0828,-3.093,0.0373,146.989,4,0.582
革命,革命,andymori,2011-06-08,98480,48,11,0,0.485,0.000957,0.959,0.0,0.26,-3.642,0.057,103.806,4,0.715
twinkle night,arbeit,nyankobrq,2019-05-05,227859,44,1,1,0.679,0.137,0.719,0.00549,0.0625,-12.486,0.0916,174.037,4,0.965
くいしんぼハッカー - WotoHacker Ver.,WotoHacker The Best,Neko Hacker,2023-03-15,198254,19,1,1,0.704,0.161,0.979,2.92e-05,0.113,-3.658,0.0868,140.032,4,0.83
真夜中遊園地,生命力,チャットモンチー,2007-10-31,197013,42,3,1,0.385,0.00134,0.829,0.00162,0.112,-2.236,0.0358,175.974,4,0.761
夜紛い,だから僕は音楽を辞めた,ヨルシカ,2019-04-10,223558,51,0,1,0.442,0.0371,0.894,5.33e-05,0.272,-4.953,0.0546,179.971,4,0.701
Porrima,Sugary Galaxy,YUC'e,2022-11-02,79371,37,1,1,0.449,0.000294,0.807,0.864,0.144,-5.471,0.041,175.051,4,0.534
Glory Days,Glory Days,KMNZ,2021-08-27,144387,29,8,1,0.52,0.00731,0.942,7.18e-06,0.337,-6.043,0.0893,155.053,4,0.614
alternative,alternative,kamome sano,2023-06-11,198333,19,1,0,0.322,0.0414,0.95,0.00122,0.281,-6.425,0.281,89.326,4,0.41
Skycave,POP-AID,TEMPLIME,2023-11-01,167276,28,6,1,0.724,0.00845,0.801,0.0011,0.513,-6.053,0.0778,129.973,4,0.694
焼ケ鮭,焼ケ鮭,真新宿GR学園,2023-02-02,219767,26,6,1,0.472,0.0515,0.993,0.000108,0.87,-2.23,0.459,172.056,4,0.516
ユーモラル討論会,"NAKIGOTO,",なきごと,2023-01-11,197825,18,10,1,0.431,0.000114,0.948,0.00547,0.912,-1.422,0.0776,89.967,4,0.188
星座になれたら,結束バンド,結束バンド,2022-12-25,258173,62,8,1,0.648,0.00498,0.9,0.0,0.0743,-3.842,0.0406,123.037,4,0.749
ついに二人きり - Tsubusare BOZZ Remix,Bitter Sweet Idealism,Limonène,2020-03-01,188720,15,5,0,0.655,0.0262,0.921,0.000193,0.333,-4.114,0.0954,132.057,4,0.79
ホワイトノイズ,ホワイトノイズ,Official髭男dism,2023-01-11,254838,66,5,0,0.467,0.000582,0.908,5.12e-05,0.386,-5.831,0.0643,143.16,4,0.477
革命的ステップの夜,革命的ステップの夜,Chevon,2022-05-31,238461,33,1,0,0.375,0.00263,0.989,0.0,0.102,0.73,0.186,156.137,4,0.173
知らない惑星,黄昏STARSHIP,なきごと,2021-04-07,184972,33,1,1,0.48,0.00571,0.888,0.00816,0.154,-3.198,0.108,177.851,4,0.717
スローモーション,ルーキー,サカナクション,2011-03-16,316800,36,7,0,0.705,0.0314,0.64,1.43e-06,0.088,-6.777,0.0527,127.961,4,0.851
(please) replay,Evergreen,Limonène,2019-04-28,188920,26,2,1,0.38,0.00142,0.966,0.000763,0.203,-4.318,0.0603,183.931,4,0.792
閃光少女,スポーツ,東京事変,2010-02-24,177266,56,11,1,0.366,0.000349,0.775,0.000256,0.123,-4.495,0.0549,167.91,4,0.414
サターン,正しい偽りからの起床,ずっと真夜中でいいのに。,2018-11-14,250000,54,5,0,0.785,0.495,0.819,0.0,0.156,-2.333,0.0425,121.856,4,0.886
Hiko,POP-AID,TEMPLIME,2023-11-01,204641,27,4,1,0.481,0.000457,0.713,0.0094,0.15,-7.119,0.126,124.988,4,0.807
へるぷ!,へるぷ! / Conversation Logic,Kijibato,2023-05-06,149000,26,10,0,0.564,0.0111,0.969,4.38e-05,0.357,-1.132,0.0496,110.005,4,0.696
non player girl,fable in sleep,somunia,2019-11-30,211665,24,8,1,0.674,0.00651,0.876,0.0097,0.345,-9.493,0.0574,137.944,4,0.482
シーグラス,COLD DISC,ストレイテナー,2016-05-18,182880,45,6,1,0.171,0.00187,0.972,0.0161,0.298,-3.036,0.362,188.021,4,0.341
化身,何者,ポルカドットスティングレイ,2020-12-16,197160,50,5,1,0.412,0.0367,0.94,0.0,0.325,-2.042,0.118,159.966,4,0.845
透明人間,総合,東京事変,2021-12-21,272000,46,2,1,0.538,0.0117,0.864,2.7e-05,0.0598,-1.538,0.0525,162.915,4,0.729
Listen,WotoHacker The Best,Neko Hacker,2023-03-15,211678,14,8,1,0.545,0.177,0.729,5.94e-05,0.167,-4.365,0.0311,139.965,4,0.365
Escapism,POP-AID,TEMPLIME,2023-11-01,173002,27,0,1,0.793,0.131,0.5,1.54e-05,0.179,-7.937,0.037,124.006,4,0.873
realism,Sour Salty Realism,Limonène,2020-10-25,112680,22,0,1,0.495,0.0213,0.921,0.00305,0.315,-4.469,0.0947,116.15,4,0.604
春,春/POOL,Sundae May Club,2021-06-01,174290,38,1,1,0.394,0.0125,0.892,0.00952,0.0841,-3.198,0.0742,179.974,4,0.554
